date,twoPM,fourPM,ninePM
"'Feb 03, 2010'",'479','807','241'
"'Feb 04, 2010'",'097','809','129'
"'Feb 05, 2010'",'524','038','903'
"'Feb 06, 2010'",'121','012','292'
"'Feb 07, 2010'",'354','222','654'
"'Feb 08, 2010'",'544','503','047'
"'Feb 09, 2010'",'976','646','906'
"'Feb 10, 2010'",'566','145','465'
"'Feb 11, 2010'",'634','040','601'
"'Feb 12, 2010'",'068','989','260'
"'Feb 13, 2010'",'654','314','041'
"'Feb 14, 2010'",'248','441','055'
"'Feb 15, 2010'",'870','684','403'
"'Feb 16, 2010'",'484','076','333'
"'Feb 17, 2010'",'084','862','887'
"'Feb 18, 2010'",'420','054','944'
"'Feb 19, 2010'",'977','010','576'
"'Feb 20, 2010'",'517','971','845'
"'Feb 21, 2010'",'588','579','052'
"'Feb 22, 2010'",'714','783','082'
"'Feb 23, 2010'",'716','845','703'
"'Feb 24, 2010'",'914','818','783'
"'Feb 25, 2010'",'328','967','147'
"'Feb 26, 2010'",'053','284','261'
"'Feb 27, 2010'",'488','757','300'
"'Feb 28, 2010'",'882','727','049'
"'Mar 01, 2010'",'180','034','569'
"'Mar 02, 2010'",'438','866','492'
"'Mar 03, 2010'",'583','645','801'
"'Mar 04, 2010'",'613','473','610'
"'Mar 05, 2010'",'391','169','622'
"'Mar 06, 2010'",'021','318','014'
"'Mar 07, 2010'",'096','336','154'
"'Mar 08, 2010'",'774','821','649'
"'Mar 09, 2010'",'849','320','624'
"'Mar 10, 2010'",'428','910','406'
"'Mar 11, 2010'",'300','581','513'
"'Mar 12, 2010'",'428','243','287'
"'Mar 13, 2010'",'489','623','580'
"'Mar 14, 2010'",'828','813','330'
"'Mar 15, 2010'",'626','985','773'
"'Mar 16, 2010'",'188','054','829'
"'Mar 17, 2010'",'835','272','825'
"'Mar 18, 2010'",'830','486','760'
"'Mar 19, 2010'",'891','616','422'
"'Mar 20, 2010'",'339','165','946'
"'Mar 21, 2010'",'249','184','793'
"'Mar 22, 2010'",'459','403','657'
"'Mar 23, 2010'",'360','238','322'
"'Mar 24, 2010'",'462','438','498'
